Date,Open,High,Low,Close,Adj Close,Volume
2022-11-16,99.699997,99.980003,99.309998,99.419998,86.510719,107645
2022-11-17,99.430000,99.690002,98.470001,99.050003,86.188759,142281
2022-11-18,99.180000,99.699997,98.620003,99.209999,86.327988,145837
2022-11-21,99.230003,99.680000,98.970001,99.190002,86.310600,169855
2022-11-22,99.190002,99.690002,99.000000,99.120003,86.249680,146499
2022-11-23,99.120003,100.250000,98.989998,99.980003,86.998024,188308
2022-11-24,99.970001,100.300003,99.529999,100.080002,87.085022,70576
2022-11-25,100.080002,100.360001,99.349998,99.800003,86.841377,96394
2022-11-28,99.800003,100.250000,99.510002,99.860001,86.893600,92098
2022-11-29,99.870003,100.519997,99.870003,100.480003,87.433083,110681
2022-11-30,100.480003,100.849998,100.120003,100.199997,87.189438,118137
2022-12-01,99.500000,99.900002,99.010002,99.099998,87.189438,129683
2022-12-02,99.400002,99.699997,99.209999,99.559998,87.594154,85786
2022-12-05,99.559998,99.879997,99.400002,99.750000,87.761322,60643
2022-12-06,99.750000,99.849998,99.099998,99.459999,87.506172,85987
2022-12-07,99.459999,99.690002,98.989998,99.110001,87.198242,86474
2022-12-08,99.199997,99.510002,99.050003,99.070000,87.163048,89259
2022-12-09,99.180000,99.290001,99.099998,99.220001,87.295029,33025
2022-12-12,99.300003,99.300003,99.019997,99.120003,87.207054,77390
2022-12-13,99.150002,99.300003,98.250000,98.250000,86.441605,110142
2022-12-14,98.250000,98.449997,96.120003,96.500000,84.901932,210680
2022-12-15,96.500000,98.169998,96.500000,96.989998,85.333031,162700
2022-12-16,96.989998,97.779999,96.199997,96.510002,84.910721,154783
2022-12-19,96.459999,97.309998,96.400002,96.889999,85.245041,106963
2022-12-20,96.889999,97.500000,96.500000,97.500000,85.781746,158984
2022-12-21,97.540001,98.029999,97.220001,97.900002,86.133667,141815
2022-12-22,98.300003,99.000000,97.199997,98.419998,86.591171,240876
2022-12-23,98.400002,98.860001,97.309998,97.379997,85.676170,162684
2022-12-26,97.989998,98.000000,96.779999,96.820000,85.183472,260608
2022-12-27,97.099998,97.989998,97.000000,97.790001,86.036896,53673
2022-12-28,97.809998,98.529999,97.699997,98.370003,86.547188,74660
2022-12-29,98.529999,98.690002,97.900002,98.690002,86.828728,98422
2023-01-02,97.150002,98.199997,96.580002,97.500000,86.837631,122587
2023-01-03,97.980003,98.540001,97.080002,97.610001,86.935600,88396
2023-01-04,97.610001,97.989998,97.089996,97.970001,87.256218,100017
2023-01-05,97.970001,98.559998,97.959999,98.540001,87.763916,113101
2023-01-06,98.570000,98.680000,97.500000,98.260002,87.514526,81242
2023-01-09,98.089996,98.459999,97.019997,97.870003,87.167168,91121
2023-01-10,97.870003,98.089996,96.930000,97.800003,87.104813,119807
2023-01-11,97.900002,98.089996,97.029999,97.669998,86.989029,96559
2023-01-12,97.669998,98.089996,97.660004,97.919998,87.211700,71766
2023-01-13,97.900002,98.500000,97.720001,98.199997,87.461067,105858
2023-01-16,98.199997,98.980003,97.839996,98.459999,87.692642,140191
2023-01-17,98.459999,98.589996,98.000000,98.309998,87.559059,118024
2023-01-18,98.860001,98.860001,98.250000,98.540001,87.763916,166017
2023-01-19,98.599998,98.660004,97.900002,98.599998,87.817345,159628
2023-01-20,98.690002,98.690002,98.220001,98.419998,87.657021,119648
2023-01-23,98.529999,98.730003,97.860001,98.150002,87.416550,119037
2023-01-24,98.300003,98.599998,97.900002,98.349998,87.594673,115852
2023-01-25,98.669998,98.980003,98.419998,98.900002,88.084526,72319
2023-01-26,99.000000,99.099998,98.550003,99.000000,88.173592,105912
2023-01-27,98.940002,98.989998,97.970001,98.000000,87.282944,126018
2023-01-30,98.169998,99.000000,98.169998,98.900002,88.084526,116844
2023-01-31,98.769997,99.300003,98.760002,99.150002,88.307182,128427
2023-02-01,97.989998,98.489998,97.190002,97.449997,87.856415,157010
2023-02-02,97.839996,98.820000,97.800003,98.330002,88.649788,128906
2023-02-03,98.489998,98.620003,98.110001,98.400002,88.712891,103494
2023-02-06,98.400002,98.690002,97.949997,98.690002,88.974342,112420
2023-02-07,98.790001,98.790001,98.309998,98.650002,88.938271,78424
2023-02-08,98.690002,98.949997,98.400002,98.820000,89.091545,89905
2023-02-09,98.820000,98.980003,98.510002,98.650002,88.938271,105835
2023-02-10,98.650002,98.900002,98.400002,98.639999,88.929260,83522
2023-02-13,98.639999,98.900002,98.510002,98.680000,88.965332,78815
2023-02-14,98.680000,99.050003,98.680000,98.889999,89.154655,87365
2023-02-15,98.989998,99.199997,98.900002,99.050003,89.298897,92944
2023-02-16,99.050003,99.050003,98.699997,98.699997,88.983360,92089
2023-02-17,99.050003,99.050003,98.720001,99.000000,89.253822,89320
2023-02-22,99.000000,99.199997,98.800003,99.029999,89.280869,64549
2023-02-23,99.099998,99.199997,98.949997,99.099998,89.343971,112277
2023-02-24,99.199997,99.389999,99.139999,99.300003,89.524300,98743
2023-02-27,99.370003,99.500000,99.169998,99.330002,89.551331,133125
2023-02-28,99.459999,99.459999,99.209999,99.379997,89.596405,116878
2023-03-01,98.500000,98.940002,97.839996,98.419998,89.632843,155529
2023-03-02,98.879997,98.879997,98.209999,98.239998,89.468910,128329
2023-03-03,98.370003,98.900002,98.370003,98.769997,89.951584,73413
2023-03-06,98.769997,98.830002,98.279999,98.410004,89.623726,106345
2023-03-07,98.419998,98.809998,98.320000,98.809998,89.988022,92243
2023-03-08,98.839996,98.889999,98.300003,98.500000,89.705696,80779
2023-03-09,98.309998,98.500000,98.000000,98.230003,89.459801,73021
2023-03-10,98.199997,98.250000,97.879997,98.110001,89.350517,78255
2023-03-13,98.110001,98.260002,98.000000,98.209999,89.441597,83868
2023-03-14,98.209999,98.260002,97.120003,97.940002,89.195702,114539
2023-03-15,97.940002,98.250000,97.220001,97.279999,88.594612,96969
2023-03-16,97.410004,97.970001,97.199997,97.410004,88.713013,101574
2023-03-17,97.519997,97.959999,97.300003,97.300003,88.612846,81569
2023-03-20,97.430000,97.639999,97.199997,97.330002,88.640160,82384
2023-03-21,97.550003,97.699997,97.360001,97.599998,88.886047,97865
2023-03-22,97.500000,97.500000,97.220001,97.400002,88.703911,97332
2023-03-23,97.500000,97.949997,97.300003,97.820000,89.086411,75581
2023-03-24,97.820000,98.260002,97.500000,97.519997,88.813194,123199
2023-03-27,97.720001,98.120003,97.519997,98.120003,89.359634,82392
2023-03-28,98.120003,98.290001,97.620003,97.930000,89.186600,91507
2023-03-29,97.930000,98.470001,97.699997,97.959999,89.213921,83496
2023-03-30,98.000000,98.269997,97.500000,97.650002,88.931587,85985
2023-03-31,97.790001,98.169998,97.500000,97.959999,89.213921,118438
2023-04-03,96.809998,97.269997,96.050003,96.139999,88.660599,126674
2023-04-04,96.139999,97.269997,96.139999,96.900002,89.361458,109178
2023-04-05,96.930000,97.580002,96.449997,97.099998,89.545906,132607
2023-04-06,97.169998,97.540001,97.169998,97.250000,89.684227,88686
2023-04-10,97.250000,97.839996,97.110001,97.500000,89.914787,99407
2023-04-11,97.739998,97.830002,97.209999,97.209999,89.647346,93441
2023-04-12,97.480003,97.599998,96.800003,96.839996,89.306129,112132
2023-04-13,97.080002,97.190002,96.620003,96.809998,89.278458,101107
2023-04-14,96.809998,97.110001,96.629997,97.040001,89.490578,93749
2023-04-17,97.040001,97.500000,96.989998,97.209999,89.647346,82302
2023-04-18,97.239998,97.489998,96.510002,96.709999,89.186249,128913
2023-04-19,96.980003,97.139999,96.470001,96.830002,89.296906,85253
2023-04-20,96.830002,97.230003,96.400002,96.910004,89.370697,112525
2023-04-24,96.809998,97.150002,96.730003,97.089996,89.536682,86372
2023-04-25,97.150002,97.599998,96.949997,97.430000,89.850235,119016
2023-04-26,97.430000,97.430000,96.769997,96.980003,89.435249,96440
2023-04-27,96.980003,97.199997,96.599998,96.660004,89.140137,90022
2023-04-28,96.660004,97.019997,96.389999,96.980003,89.435249,140283
2023-05-02,96.190002,96.480003,94.779999,94.849998,88.382301,197088
2023-05-03,95.099998,95.349998,94.879997,95.000000,88.522064,106648
2023-05-04,95.160004,95.370003,94.900002,95.110001,88.624557,126823
2023-05-05,95.099998,95.519997,94.900002,95.370003,88.866844,152472
2023-05-08,95.349998,96.000000,94.989998,95.639999,89.118439,174767
2023-05-09,95.639999,96.220001,95.339996,96.029999,89.481827,136030
2023-05-10,96.059998,96.239998,95.550003,95.550003,89.034569,99105
2023-05-11,95.599998,95.779999,95.080002,95.370003,88.866844,119930
2023-05-12,95.370003,95.489998,95.010002,95.099998,88.615242,119504
2023-05-15,95.279999,95.489998,95.040001,95.169998,88.680473,110843
2023-05-16,95.190002,95.440002,94.900002,95.000000,88.522064,125244
2023-05-17,95.000000,95.150002,94.379997,94.849998,88.382301,153566
2023-05-18,94.849998,95.300003,94.720001,95.190002,88.699120,107079
2023-05-19,95.190002,95.410004,95.099998,95.239998,88.745689,97281
2023-05-22,95.309998,95.389999,95.050003,95.230003,88.736397,84008
2023-05-23,95.230003,95.360001,94.949997,95.309998,88.810936,136648
2023-05-24,95.309998,95.360001,94.900002,95.029999,88.550026,130687
2023-05-25,95.040001,95.290001,94.900002,95.000000,88.522064,111534
2023-05-26,95.000000,95.180000,94.839996,95.019997,88.540695,93433
2023-05-29,95.059998,95.070000,94.889999,95.000000,88.522064,68494
2023-05-30,95.019997,95.139999,94.910004,94.980003,88.503441,78052
2023-05-31,95.019997,95.250000,94.949997,95.239998,88.745689,103016
2023-06-01,94.199997,94.440002,92.339996,93.000000,87.801605,410320
2023-06-02,93.000000,93.769997,91.099998,93.050003,87.848808,425682
2023-06-05,93.099998,93.800003,92.750000,93.690002,88.453041,195396
2023-06-06,93.690002,93.989998,93.400002,93.410004,88.188690,158957
2023-06-07,93.500000,93.800003,92.900002,93.669998,88.434151,231772
2023-06-09,93.599998,93.800003,93.410004,93.690002,88.453041,128024
2023-06-12,93.769997,93.970001,93.400002,93.400002,88.179253,189053
2023-06-13,93.559998,93.830002,93.500000,93.639999,88.405823,165376
2023-06-14,93.570000,94.430000,93.570000,94.239998,88.972290,155764
2023-06-15,94.300003,95.000000,94.260002,94.900002,89.595398,150563
2023-06-16,94.930000,96.129997,94.800003,95.980003,90.615021,198484
2023-06-19,95.980003,96.629997,95.790001,96.500000,91.105965,197875
2023-06-20,96.500000,97.080002,96.300003,97.080002,91.653542,117308
2023-06-21,97.269997,97.970001,97.080002,97.760002,92.295540,157467
