Date,Open,High,Low,Close,Adj Close,Volume
2022-11-14,124.980003,125.000000,122.629997,122.849998,114.545708,30285
2022-11-16,123.000000,123.870003,121.209999,122.500000,114.219376,30862
2022-11-17,122.500000,122.500000,120.449997,120.790001,112.624969,32975
2022-11-18,120.500000,122.790001,120.500000,122.120003,113.865067,28258
2022-11-21,122.120003,122.910004,122.029999,122.070000,113.818443,19598
2022-11-22,122.669998,123.000000,121.639999,122.190002,113.930328,17229
2022-11-23,122.190002,123.000000,121.489998,122.360001,114.088844,32742
2022-11-24,122.370003,124.800003,122.370003,123.440002,115.095840,25416
2022-11-25,123.440002,124.360001,122.279999,122.830002,114.527061,17646
2022-11-28,122.830002,123.989998,121.589996,121.699997,113.473457,22189
2022-11-29,122.000000,122.949997,121.209999,121.940002,113.697227,28292
2022-11-30,122.000000,122.800003,121.900002,121.930000,113.687904,27092
2022-12-01,121.889999,122.000000,119.379997,120.870003,112.699562,40412
2022-12-02,120.870003,121.720001,120.529999,121.269997,113.072517,17530
2022-12-05,121.000000,122.849998,120.760002,121.940002,113.697227,20948
2022-12-06,121.949997,122.400002,121.309998,121.589996,113.370880,17980
2022-12-07,121.589996,122.000000,121.000000,121.269997,113.072517,24901
2022-12-08,121.930000,122.040001,121.040001,121.290001,113.091171,26062
2022-12-09,121.290001,121.599998,120.000000,120.000000,111.888374,20068
2022-12-12,120.000000,120.540001,118.699997,118.699997,110.676231,31221
2022-12-13,118.720001,119.629997,116.660004,117.129997,109.212372,33880
2022-12-14,117.209999,118.199997,115.800003,116.400002,108.531731,27910
2022-12-15,116.400002,117.430000,114.269997,114.940002,107.170410,41232
2022-12-16,114.940002,116.169998,114.660004,115.110001,107.328926,27962
2022-12-19,115.110001,116.139999,114.500000,114.510002,106.769470,27703
2022-12-20,114.800003,115.389999,114.650002,115.260002,107.468788,26745
2022-12-21,115.260002,117.150002,115.260002,116.449997,108.578331,30056
2022-12-22,116.519997,117.989998,116.519997,117.180000,109.258995,27516
2022-12-23,117.220001,117.860001,116.809998,117.260002,109.333580,38279
2022-12-26,117.260002,118.599998,117.260002,118.040001,110.060860,30986
2022-12-27,118.099998,118.989998,118.099998,118.959999,110.918671,21512
2022-12-28,118.959999,121.989998,118.209999,121.989998,113.743843,39842
2022-12-29,120.849998,122.000000,120.849998,122.000000,113.753166,26483
2023-01-02,119.019997,125.500000,118.230003,124.199997,115.804459,123546
2023-01-03,123.900002,124.300003,121.190002,121.900002,113.659943,62842
2023-01-04,121.900002,122.930000,120.209999,121.279999,113.081848,24558
2023-01-05,121.730003,122.169998,119.970001,120.010002,111.897697,26613
2023-01-06,120.269997,121.730003,119.919998,120.290001,112.158760,20564
2023-01-09,120.000000,120.940002,119.000000,120.110001,111.990929,19688
2023-01-10,120.139999,120.739998,119.580002,120.089996,111.972282,24433
2023-01-11,120.089996,120.089996,119.250000,119.839996,111.739174,19422
2023-01-12,119.790001,120.790001,119.110001,119.480003,111.403519,27797
2023-01-13,119.989998,120.440002,119.000000,119.000000,110.955963,28281
2023-01-16,119.500000,120.089996,119.000000,119.080002,111.030563,27695
2023-01-17,119.080002,120.160004,118.500000,118.790001,110.760170,37253
2023-01-18,118.790001,119.730003,117.919998,118.000000,110.023560,29665
2023-01-19,118.550003,119.860001,117.320000,119.230003,111.170425,27669
2023-01-20,119.230003,119.830002,118.389999,119.500000,111.422165,20859
2023-01-23,119.500000,119.849998,119.000000,119.389999,111.319611,20508
2023-01-24,119.349998,119.519997,118.120003,118.279999,110.284637,24409
