Date,Open,High,Low,Close,Adj Close,Volume
2022-11-16,98.269997,98.790001,95.800003,96.400002,85.727806,109693
2022-11-17,96.400002,96.720001,94.500000,94.860001,84.358292,113313
2022-11-18,95.029999,97.930000,95.029999,95.800003,85.194244,87407
2022-11-21,95.800003,96.639999,95.199997,95.269997,84.722908,61560
2022-11-22,95.279999,95.800003,94.650002,94.730003,84.242699,75688
2022-11-23,94.919998,95.580002,94.500000,94.589996,84.118187,60346
2022-11-24,94.820000,95.510002,94.820000,95.230003,84.687340,41187
2022-11-25,95.230003,95.989998,95.000000,95.010002,84.491699,53261
2022-11-28,95.099998,95.690002,95.010002,95.019997,84.500587,40275
2022-11-29,95.290001,95.889999,94.589996,94.650002,84.171547,58912
2022-11-30,94.930000,95.559998,94.699997,94.800003,84.304932,65467
2022-12-01,94.930000,95.629997,94.900002,95.199997,84.660652,55403
2022-12-02,95.309998,95.800003,94.900002,95.199997,84.660652,71323
2022-12-05,95.419998,95.750000,95.019997,95.150002,84.616203,48929
2022-12-06,95.050003,95.529999,94.959999,95.169998,84.633980,49861
2022-12-07,95.349998,95.650002,94.800003,95.150002,84.616203,47138
2022-12-08,95.150002,95.480003,95.019997,95.019997,84.500587,45573
2022-12-09,95.129997,95.629997,95.120003,95.379997,84.820724,36147
2022-12-12,94.500000,94.650002,93.599998,93.930000,84.150230,59510
2022-12-13,94.129997,94.410004,92.760002,93.000000,83.317047,64415
2022-12-14,93.010002,93.480003,90.750000,91.260002,81.758217,100266
2022-12-15,91.260002,91.959999,89.699997,90.489998,81.068382,114715
2022-12-16,90.599998,91.500000,89.000000,89.000000,79.733521,163116
2022-12-19,88.889999,88.889999,87.510002,88.000000,78.837639,112288
2022-12-20,88.220001,90.839996,88.110001,89.400002,80.091873,106487
2022-12-21,89.739998,90.680000,89.739998,90.449997,81.032539,70689
2022-12-22,90.480003,91.129997,90.449997,90.980003,81.507370,62128
2022-12-23,91.000000,92.000000,89.739998,91.660004,82.116585,89170
2022-12-26,91.660004,92.529999,91.000000,91.910004,82.340538,48985
2022-12-27,91.930000,92.440002,91.180000,91.379997,81.865723,62753
2022-12-28,91.459999,92.199997,91.459999,92.000000,82.421165,53734
2022-12-29,91.800003,92.480003,91.529999,92.349998,82.734734,43005
2023-01-02,91.510002,92.330002,91.510002,92.040001,82.457001,51001
2023-01-03,92.040001,92.519997,91.550003,91.620003,82.080734,78078
2023-01-04,91.860001,92.300003,91.809998,92.099998,82.510757,45374
2023-01-05,92.099998,92.910004,92.000000,92.790001,83.128914,42397
2023-01-06,92.790001,93.300003,92.150002,92.699997,83.048286,50671
2023-01-09,92.470001,93.519997,91.699997,93.440002,83.711243,55628
2023-01-10,93.440002,93.760002,92.510002,92.680000,83.030373,52728
2023-01-11,91.930000,92.500000,90.900002,90.900002,82.230965,59047
2023-01-12,91.500000,91.769997,90.570000,90.570000,81.932426,51595
2023-01-13,91.139999,91.989998,90.849998,91.010002,82.330460,55540
2023-01-16,91.339996,91.730003,91.010002,91.050003,82.366646,60487
2023-01-17,91.220001,91.730003,90.900002,91.059998,82.375710,62365
2023-01-18,91.129997,91.529999,91.070000,91.330002,82.619949,40558
2023-01-19,91.510002,91.900002,91.010002,91.059998,82.375710,46459
2023-01-20,91.089996,91.519997,91.089996,91.349998,82.638046,39898
2023-01-23,91.379997,91.989998,91.349998,91.349998,82.638046,49037
2023-01-24,91.320000,91.620003,90.930000,91.070000,82.384758,55241
2023-01-25,91.199997,91.709999,91.099998,91.209999,82.511391,38084
2023-01-26,91.269997,91.489998,91.199997,91.209999,82.511391,37945
